product_category,product_id_subcategory,USD
Carded Items,CardedItems,514
Counterfeit Items,CounterfeitItems,3215
Digital Products,DigitalProducts,8448
Drugs & Chemicals,Benzos,7343
Drugs & Chemicals,Cannabis&Hashish,23893
Drugs & Chemicals,Dissociatives,3565
Drugs & Chemicals,Drugs&Chemicals,198
Drugs & Chemicals,Ecstasy,8905
Drugs & Chemicals,Opioids,7193
Drugs & Chemicals,Other,312
Drugs & Chemicals,Prescription,4296
Drugs & Chemicals,Psychedelics,5785
Drugs & Chemicals,Psychedelics/DMA,18
Drugs & Chemicals,Steroids,2405
Drugs & Chemicals,Stimulants,15106
Drugs & Chemicals,Tobacco,115
Drugs & Chemicals,WeightLoss,109
Fraud,Fraud,6376
Guides & Tutorials,Guides&Tutorials,4230
Jewels & Gold,Jewels&Gold,1152
Other Listings,OtherListings,512
Security & Hosting,Security&Hosting,211
Services,Services,866
Software & Malware,Software&Malware,701
