product_category,product_id_subcategory,USD
Carded Items,CardedItems,97443.5799999997
Counterfeit Items,CounterfeitItems,1524696.510000003
Digital Products,DigitalProducts,1473816.3500000415
Drugs & Chemicals,WeightLoss,20496.48000000001
Drugs & Chemicals,Tobacco,13809.85000000001
Drugs & Chemicals,Stimulants,21732941.559999947
Drugs & Chemicals,Steroids,219826.3100000001
Drugs & Chemicals,Psychedelics/DMA,4581.85
Drugs & Chemicals,Prescription,639457.0100000009
Drugs & Chemicals,Psychedelics,3288484.749999973
Drugs & Chemicals,Opioids,4265290.620000002
Drugs & Chemicals,Ecstasy,5040718.769999928
Drugs & Chemicals,Drugs&Chemicals,21094.270000000008
Drugs & Chemicals,Dissociatives,2922394.2400000035
Drugs & Chemicals,Cannabis&Hashish,16084903.549999913
Drugs & Chemicals,Benzos,7891437.92000001
Drugs & Chemicals,Other,315260.44999999995
Fraud,Fraud,1781156.660000003
Guides & Tutorials,Guides&Tutorials,140545.76000000004
Jewels & Gold,Jewels&Gold,550318.7099999993
Other Listings,OtherListings,242818.04000000018
Security & Hosting,Security&Hosting,21546.970000000005
Services,Services,270620.71000000014
Software & Malware,Software&Malware,90314.10000000047
